Recording Sequence Nr,Recording Name,Experiment Date,Experiment Name,Condition Nr,Replicate Nr,Probe,Probe Type,Cell Type,Adjuvant,Concentration,Threshold,Process,Nr Spots,Nr Tracks,Run Time,Ext Recording Name,Recording Size,Time Stamp,Max Frame Gap,Gap Closing Max Distance,Linking Max Distance,Median Filtering,Nr Spots in All Tracks,Min Tracks for Tau,Min Required R Squared,Nr of Squares in Row,Max Allowable Variability,Min Required Density Ratio,Exclude,Neighbour Mode,Tau,Density,R Squared
1,240104-Exp-1-A1-1,240104,240104,1,1,6 Mono,Simple,BMDC,No,10,5,Yes,340441,12490,15.8,240104-Exp-1-A1-1-threshold-5,1057996800,Mon Jan  6 14:45:13 2025,3,1.2,0.6,False,226461,20,0.9,20,10.0,35.0,False,Free,196.08415444604162,0.12247512605752744,0.9709435002819418
2,240104-Exp-1-A1-2,240104,240104,1,2,6 Mono,Simple,BMDC,No,10,5,Yes,165049,6924,8.6,240104-Exp-1-A1-2-threshold-5,1057996800,Mon Jan  6 14:45:28 2025,3,1.2,0.6,False,136114,20,0.9,20,10.0,2.0,False,Free,223.9554900885003,0.1369678179867402,0.971355402933172
3,240104-Exp-1-A1-3,240104,240104,1,3,6 Mono,Simple,BMDC,No,10,5,Yes,164298,6203,8.1,240104-Exp-1-A1-3-threshold-5,1057996800,Mon Jan  6 14:45:41 2025,3,1.2,0.6,False,135520,20,0.9,20,10.0,2.0,False,Free,188.0,0.36487,0.969
4,240104-Exp-2-A2-2,240104,240104,2,2,1 Tri,Simple,BMDC,No,10,5,Yes,145074,5547,7.8,240104-Exp-2-A2-2-threshold-5,1057996800,Mon Jan  6 14:45:54 2025,3,1.2,0.6,False,85479,20,0.9,20,10.0,2.0,False,Free,151.07604255013575,0.0109883115037063,0.9333766560138697
5,240104-Exp-3-A3-1,240104,240104,3,1,6 Tri,Simple,BMDC,No,10,5,Yes,336583,9297,10.2,240104-Exp-3-A3-1-threshold-5,1057996800,Mon Jan  6 14:46:10 2025,3,1.2,0.6,False,297615,20,0.9,20,10.0,2.0,False,Free,216.0,0.54817,0.944
6,240104-Exp-3-A3-2,240104,240104,3,2,6 Tri,Simple,BMDC,No,10,5,Yes,100062,3292,7.3,240104-Exp-3-A3-2-threshold-5,1057996800,Mon Jan  6 14:46:22 2025,3,1.2,0.6,False,83509,20,0.9,20,10.0,2.0,False,Free,184.15942444128177,0.063732206721497,0.9740728912538982
7,240104-Exp-3-A3-3,240104,240104,3,3,6 Tri,Simple,BMDC,No,10,5,Yes,82137,2836,7.4,240104-Exp-3-A3-3-threshold-5,1057996800,Mon Jan  6 14:46:35 2025,3,1.2,0.6,False,69402,20,0.9,20,10.0,2.0,False,Free,119.78954509205148,0.0136017477532365,0.9414956620116512
8,240104-Exp-3-A3-4,240104,240104,3,4,6 Tri,Simple,BMDC,No,10,5,Yes,102015,4300,7.4,240104-Exp-3-A3-4-threshold-5,1057996800,Mon Jan  6 14:46:47 2025,3,1.2,0.6,False,81687,20,0.9,20,10.0,2.0,False,Free,188.0,0.24893,0.949
9,240104-Exp-4-A1-2,240104,240104,4,2,6 Mono,Simple,BMDC,MPLA,10,5,Yes,722050,30943,42.8,240104-Exp-4-A1-2-threshold-5,1057996800,Mon Jan  6 14:47:35 2025,3,1.2,0.6,False,413116,20,0.9,20,10.0,2.0,False,Free,184.0,1.79567,0.947
10,240104-Exp-4-A1-3,240104,240104,4,3,6 Mono,Simple,BMDC,MPLA,10,5,Yes,337158,12361,10.6,240104-Exp-4-A1-3-threshold-5,1057996800,Mon Jan  6 14:47:51 2025,3,1.2,0.6,False,288611,20,0.9,20,10.0,2.0,False,Free,204.0,0.73105,0.949
11,240104-Exp-4-A1-4,240104,240104,4,4,6 Mono,Simple,BMDC,MPLA,10,5,Yes,278403,9219,9.7,240104-Exp-4-A1-4-threshold-5,1057996800,Mon Jan  6 14:48:06 2025,3,1.2,0.6,False,235003,20,0.9,20,10.0,2.0,False,Free,187.0,0.54116,0.953
12,240104-Exp-7-A1-5,240104,240104,7,5,6 Mono,Simple,MR -/-,No,10,5,Yes,94176,5073,7.4,240104-Exp-7-A1-5-threshold-5,1057996800,Mon Jan  6 14:48:19 2025,3,1.2,0.6,False,66177,20,0.9,20,10.0,2.0,False,Free,157.0,0.29888,0.957
13,240104-Exp-8-A2-2,240104,240104,8,2,1 Tri,Simple,MR -/-,No,10,5,Yes,407969,18204,14.0,240104-Exp-8-A2-2-threshold-5,1057996800,Mon Jan  6 14:48:38 2025,3,1.2,0.6,False,270673,20,0.9,20,10.0,2.0,False,Free,151.0,1.03866,0.953
14,240104-Exp-9-A3-3,240104,240104,9,3,6 Tri,Simple,MR -/-,No,10,5,Yes,11662,544,6.7,240104-Exp-9-A3-3-threshold-5,1057996800,Mon Jan  6 14:48:50 2025,3,1.2,0.6,False,7473,20,0.9,20,10.0,2.0,False,Free,72.0,0.02726,0.937
15,240104-Exp-9-A3-4,240104,240104,9,4,6 Tri,Simple,MR -/-,No,10,5,Yes,17348,647,6.8,240104-Exp-9-A3-4-threshold-5,1057996800,Mon Jan  6 14:49:02 2025,3,1.2,0.6,False,12039,20,0.9,20,10.0,2.0,False,Free,71.0,0.03267,0.981
16,240104-Exp-11-B2-1,240104,240104,11,1,1 Tri,Simple,MR -/-,MPLA,10,10,Yes,307005,17064,12.9,240104-Exp-11-B2-1-threshold-10,1057996800,Mon Jan  6 14:49:20 2025,3,1.2,0.6,False,204663,20,0.9,20,10.0,2.0,False,Free,161.0,1.00065,0.952
17,240104-Exp-11-B2-2,240104,240104,11,2,1 Tri,Simple,MR -/-,MPLA,10,5,Yes,405638,18473,13.9,240104-Exp-11-B2-2-threshold-5,1057996800,Mon Jan  6 14:49:40 2025,3,1.2,0.6,False,233756,20,0.9,20,10.0,2.0,False,Free,150.0,1.03801,0.953
18,240104-Exp-12-B3-2,240104,240104,12,2,6 Tri,Simple,MR -/-,MPLA,10,5,Yes,14852,589,6.8,240104-Exp-12-B3-2-threshold-5,1057996800,Mon Jan  6 14:49:53 2025,3,1.2,0.6,False,8778,20,0.9,20,10.0,2.0,False,Free,76.0,0.02792,0.973
19,240104-Exp-12-B3-3,240104,240104,12,3,6 Tri,Simple,MR -/-,MPLA,10,5,Yes,13126,558,7.1,240104-Exp-12-B3-3-threshold-5,1057996800,Mon Jan  6 14:50:05 2025,3,1.2,0.6,False,10062,20,0.9,20,10.0,2.0,False,Free,189.0,0.02887,0.926
1,240116-Exp-1-A1-2,240116,240116,1,2,6 Mono,Simple,BMDC,No,10,5,Yes,463309,12225,11.8,240116-Exp-1-A1-2-threshold-5,1057996800,Mon Jan  6 14:51:26 2025,3,1.2,0.6,False,294496,20,0.9,20,10.0,2.0,False,Free,149.0,0.70604,0.94
2,240116-Exp-1-A1-3,240116,240116,1,3,6 Mono,Simple,BMDC,No,10,10,Yes,275397,9325,10.1,240116-Exp-1-A1-3-threshold-10,1057996800,Mon Jan  6 14:51:42 2025,3,1.2,0.6,False,236925,20,0.9,20,10.0,2.0,False,Free,187.0,0.55102,0.956
3,240116-Exp-1-A1-5,240116,240116,1,5,6 Mono,Simple,BMDC,No,10,10,Yes,345594,12111,12.0,240116-Exp-1-A1-5-threshold-10,1057996800,Mon Jan  6 14:51:59 2025,3,1.2,0.6,False,309034,20,0.9,20,10.0,2.0,False,Free,231.0,0.71656,0.955
4,240116-Exp-2-A2-2,240116,240116,2,2,1 Tri,Simple,BMDC,No,10,10,Yes,413959,18846,15.3,240116-Exp-2-A2-2-threshold-10,1057996800,Mon Jan  6 14:52:20 2025,3,1.2,0.6,False,297731,20,0.9,20,10.0,2.0,False,Free,159.0,1.06991,0.948
5,240116-Exp-3-A3-2,240116,240116,3,2,6 Tri,Simple,BMDC,No,10,10,Yes,257856,8225,10.2,240116-Exp-3-A3-2-threshold-10,1057996800,Mon Jan  6 14:52:36 2025,3,1.2,0.6,False,220142,20,0.9,20,10.0,2.0,False,Free,197.0,0.48206,0.952
6,240116-Exp-7-A1-2,240116,240116,7,2,6 Mono,Simple,BMDC,MPLA,10,20,Yes,404718,10672,11.9,240116-Exp-7-A1-2-threshold-20,1057996800,Mon Jan  6 14:52:53 2025,3,1.2,0.6,False,379056,20,0.9,20,10.0,2.0,False,Free,236.0,0.63031,0.957
7,240116-Exp-7-A1-4,240116,240116,7,4,6 Mono,Simple,BMDC,MPLA,10,10,Yes,385222,12672,11.8,240116-Exp-7-A1-4-threshold-10,1057996800,Mon Jan  6 14:53:11 2025,3,1.2,0.6,False,329795,20,0.9,20,10.0,2.0,False,Free,188.0,0.75035,0.958
8,240116-Exp-8-A2-2,240116,240116,8,2,1 Tri,Simple,BMDC,MPLA,10,10,Yes,649215,31430,37.2,240116-Exp-8-A2-2-threshold-10,1057996800,Mon Jan  6 14:53:54 2025,3,1.2,0.6,False,447642,20,0.9,20,10.0,2.0,False,Free,201.50130391980372,0.287121609777928,0.9610696079407212
9,240116-Exp-10-B1-1,240116,240116,10,1,6 Mono,Simple,iCD103,MPLA,10,20,Yes,245624,8938,9.2,240116-Exp-10-B1-1-threshold-20,1057996800,Mon Jan  6 14:54:09 2025,3,1.2,0.6,False,222386,20,0.9,20,10.0,2.0,False,Free,230.0,0.52607,0.964
10,240116-Exp-10-B1-2,240116,240116,10,2,6 Mono,Simple,iCD103,MPLA,10,10,Yes,247425,7779,9.3,240116-Exp-10-B1-2-threshold-10,1057996800,Mon Jan  6 14:54:23 2025,3,1.2,0.6,False,217462,20,0.9,20,10.0,2.0,False,Free,189.0,0.4586,0.957
11,240116-Exp-10-B1-3,240116,240116,10,3,6 Mono,Simple,iCD103,MPLA,10,10,Yes,260241,8301,9.3,240116-Exp-10-B1-3-threshold-10,1057996800,Mon Jan  6 14:54:38 2025,3,1.2,0.6,False,231755,20,0.9,20,10.0,2.0,False,Free,212.0,0.48901,0.964
12,240116-Exp-11-B2-2,240116,240116,11,2,1 Tri,Simple,iCD103,MPLA,10,10,Yes,451979,22713,20.5,240116-Exp-11-B2-2-threshold-10,1057996800,Mon Jan  6 14:55:04 2025,3,1.2,0.6,False,295411,20,0.9,20,10.0,2.0,False,Free,175.0,1.21008,0.951
13,240116-Exp-12-B3-2,240116,240116,12,2,6 Tri,Simple,iCD103,MPLA,10,20,Yes,327480,6651,10.6,240116-Exp-12-B3-2-threshold-20,1057996800,Mon Jan  6 14:55:21 2025,3,1.2,0.6,False,303038,20,0.9,20,10.0,2.0,False,Free,184.0,0.39219,0.955
14,240116-Exp-13-A4-2,240116,240116,13,2,6 Tri,Simple,BMDC,LPS,10,20,Yes,314060,9547,10.7,240116-Exp-13-A4-2-threshold-20,1057996800,Mon Jan  6 14:55:39 2025,3,1.2,0.6,False,283165,20,0.9,20,10.0,2.0,False,Free,197.0,0.56337,0.953
